Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,FDV38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,10%,19.25,54.3956,4.7
Low Fat,FDJ53,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,7%,10.5,120.2098,4.7
Low Fat,FDE22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,3%,9.695,159.792,4.7
Regular,FDB14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,10%,20.25,94.612,4.7
Regular,FDU58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,3%,6.61,188.4898,4.7
Regular,FDB23,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,1%,19.2,226.2062,4.7
Low Fat,FDK24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,10%,,45.4744,4.7
Low Fat,FDW49,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,8%,,179.9002,4.7
Low Fat,NCW53,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,3%,,192.5162,4.7
Low Fat,NCB18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,4%,,89.5514,4.7
Low Fat,DRD13,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,5%,,64.7168,4.7
Low Fat,DRF01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,17%,,146.6102,4.7
Low Fat,FDN48,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,11%,,89.9804,4.6
Regular,FDQ49,Breakfast,2018,OUT027,Tier 3,Medium,Supermarket Type3,4%,,155.963,4.6
Low Fat,DRG27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,11%,8.895,39.9138,4.6
Low Fat,FDD03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,8%,13.3,232.53,4.6
Low Fat,NCE06,Household,2018,OUT019,Tier 1,Small,Grocery Store,16%,,160.2894,4.6
Regular,FDJ60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,6%,19.35,163.3184,4.6
Low Fat,FDG52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,7%,13.65,47.7402,4.6
Low Fat,FDU59,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,10%,5.78,162.8552,4.6
Low Fat,DRK39,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,5%,7.02,82.425,4.6
Low Fat,DRL60,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,3%,8.52,151.7682,4.6
Regular,FDP48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,4%,7.52,182.995,4.6
Regular,FDA35,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,5%,14.85,123.0072,4.6
Regular,FDQ40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,4%,11.1,175.4712,4.6
Regular,FDH44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,3%,19.1,146.8418,4.6
Regular,FDJ21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,4%,16.7,144.6102,4.6
Regular,FDW26,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,19%,,220.4772,4.6
Regular,FDB35,Starchy Foods,2018,OUT019,Tier 1,Small,Grocery Store,11%,,92.9804,4.6
Low Fat,FDB08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,3%,6.055,159.9578,4.6
Low Fat,NCY18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,3%,7.285,173.2054,4.6
Low Fat,NCR38,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,11%,17.25,253.5724,4.6
Low Fat,FDK21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,1%,7.905,250.4408,4.6
Low Fat,DRF01,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0%,5.655,147.5102,4.6
Regular,FDA02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,3%,14,143.4786,4.6
Regular,FDD40,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,1%,20.25,191.5162,4.6
Regular,FDM58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,8%,16.85,113.4544,4.6
reg,FDU24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,14%,6.78,94.212,4.6
Low Fat,FDS55,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,8%,7.02,150.0734,4.6
Low Fat,FDC45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,14%,17,171.7106,4.6
Low Fat,FDB33,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,1%,17.75,160.4262,4.6
Low Fat,NCP42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,2%,8.51,194.2478,4.6
Low Fat,NCL54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,8%,12.6,175.2054,4.6
Low Fat,NCC07,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,2%,19.6,104.0964,4.6
Low Fat,FDP60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,6%,17.35,102.0016,4.6
Low Fat,FDI14,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,9%,14.1,140.2496,4.6
Low Fat,FDJ07,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,1%,7.26,118.415,4.6
Low Fat,DRD12,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,8%,6.96,90.9146,4.6
Low Fat,DRN37,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,10%,9.6,166.1158,4.6
Low Fat,DRF37,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,8%,17.25,261.191,4.6
Regular,FDX35,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,8%,5.035,228.2036,4.6
Regular,FDP28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,8%,13.65,261.1936,4.6
Regular,FDJ27,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,12%,17.7,100.7674,4.6
Regular,FDF10,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,16%,15.5,145.6418,4.6
Regular,DRC13,Soft Drinks,2015,OUT045,Tier 2,High,Supermarket Type1,0%,8.26,122.573,4.6
Regular,FDG12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,1%,6.635,121.1098,4.6
Regular,FDH50,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,16%,15,185.9266,4.6
Regular,FDE20,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,1%,11.35,168.379,4.6
Regular,FDU03,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,9%,18.7,183.3292,4.6
Low Fat,FDW59,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,13.15,82.7566,4.6
Low Fat,FDN32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,17.5,184.7266,4.6
Low Fat,NCK05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,8%,20.1,60.6536,4.6
Low Fat,NCJ18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,16%,12.35,119.2124,4.6
Low Fat,NCE30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,10%,16,210.7902,4.6
Low Fat,FDX15,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,16%,17.2,159.6578,4.6
Low Fat,FDT22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,11%,10.395,58.022,4.6
Low Fat,FDR10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,1%,17.6,163.5552,4.6
Low Fat,DRL49,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,6%,13.15,142.4812,4.6
Regular,FDF29,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,15.1,131.531,4.6
Regular,FDT56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,12%,16,57.5246,4.6
Regular,FDN03,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,2%,9.8,250.1408,4.6
Regular,FDW15,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,6%,15.35,149.7734,4.6
Regular,FDU51,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,10%,20.2,175.6028,4.6
Low Fat,FDQ14,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,10%,9.27,148.105,4.6
Low Fat,DRC27,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,10%,13.8,245.7802,4.6
Low Fat,DRE03,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,4%,19.6,45.5718,4.6
Low Fat,FDD16,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,6%,20.5,75.0696,4.6
Low Fat,FDT03,Meat,2011,OUT010,Tier 3,High,Grocery Store,2%,21.25,185.2608,4.6
Low Fat,FDG47,Starchy Foods,2011,OUT010,Tier 3,High,Grocery Store,12%,12.8,261.4252,4.6
Low Fat,FDG60,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,6%,20.35,232.7616,4.6
Low Fat,FDS37,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,3%,7.655,117.7492,4.6
Low Fat,DRG03,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,6%,14.5,154.4998,4.6
Low Fat,FDB52,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,3%,17.75,256.0672,4.6
Low Fat,FDK40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0%,7.035,262.691,4.6
Low Fat,NCZ53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,2%,9.6,186.6214,4.6
Low Fat,NCP41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,2%,16.6,108.8596,4.6
Low Fat,NCY42,Household,2014,OUT013,Tier 3,High,Supermarket Type1,2%,6.38,144.047,4.6
Low Fat,NCO43,Others,2014,OUT013,Tier 3,High,Supermarket Type1,5%,5.5,100.1016,4.6
Low Fat,FDR46,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,14%,16.85,144.976,4.6
Low Fat,FDW58,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,1%,20.75,104.1622,4.6
Regular,FDX36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,13%,9.695,224.8404,4.6
Regular,FDM01,Breakfast,2014,OUT013,Tier 3,High,Supermarket Type1,9%,7.895,100.7332,4.6
Regular,FDX38,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,5%,10.5,48.8376,4.6
Regular,FDH53,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,2%,20.5,83.7592,4.6
Regular,FDZ51,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,5%,11.3,96.3094,4.6
Regular,FDV57,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,7%,15.25,179.866,4.6
LF,FDV59,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0%,13.35,217.6166,4.6
LF,FDT02,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,2%,12.6,33.4874,4.6
LF,DRD60,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,4%,15.7,179.7634,4.6
Low Fat,FDV35,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,13%,19.5,155.3314,4.6
Low Fat,FDK14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,4%,6.98,82.4934,4.6
Low Fat,DRC27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,6%,13.8,246.2802,4.6
Low Fat,NCL53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,4%,7.5,177.9028,4.6
Regular,FDK26,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,3%,5.46,185.224,4.6
Low Fat,FDD57,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,2%,,93.6094,4.6
Low Fat,FDM03,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0%,,109.1938,4.6
Low Fat,FDX15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,16%,,159.7578,4.6
Low Fat,FDA10,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,14%,,121.6072,4.6
Regular,FDE56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,16%,,62.4194,4.6
Regular,FDS31,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,4%,,178.4318,4.6
Regular,FDW39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,4%,,177.237,4.6
Regular,FDY39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0%,,182.0608,4.6
low fat,NCQ53,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,2%,,235.259,4.6
reg,FDG35,Starchy Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,1%,,173.5738,4.6
Low Fat,NCP18,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,3%,12.15,151.4708,4.5
Low Fat,FDY58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,4%,11.65,227.0694,4.5
Low Fat,NCB06,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,8%,17.6,160.692,4.5
Regular,FDB36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0%,5.465,132.5626,4.5
LF,FDR47,Breads,2011,OUT010,Tier 3,Small,Grocery Store,0%,17.85,196.5794,4.5
Regular,FDE10,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,15%,6.67,130.0626,4.5
Low Fat,DRK01,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,6%,7.63,95.4436,4.5
Low Fat,FDL22,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,4%,16.85,91.4488,4.5
Low Fat,NCD06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,10%,13,46.306,4.5
Low Fat,NCT54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,12%,8.695,95.5094,4.5
Low Fat,FDV59,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,5%,13.35,216.7166,4.5
Regular,FDY49,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,1%,,164.5184,4.5
Low Fat,NCS54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,1%,13.6,175.437,4.5
Low Fat,NCJ54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,6%,,231.7642,4.5
Low Fat,FDR60,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,13%,14.3,78.6328,4.5
Regular,FDJ20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,10%,20.7,123.4388,4.5
Low Fat,DRM11,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,7%,6.57,259.7278,4.5
Low Fat,FDK44,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,12%,16.6,175.5738,4.5
Low Fat,FDP10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,13%,19,104.3622,4.5
Regular,FDG14,Canned,2020,OUT017,Tier 2,Medium,Supermarket Type1,5%,9,152.2024,4.5
Low Fat,FDA10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0%,20.35,120.9072,4.5
Low Fat,FDO34,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,3%,17.7,165.9816,4.5
Low Fat,FDN15,Meat,2011,OUT010,Tier 3,Medium,Grocery Store,3%,17.5,141.718,4.5
Low Fat,NCN41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,5%,17,125.073,4.5
Low Fat,DRE27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,13%,11.85,96.4726,4.5
Low Fat,FDU40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,6%,20.85,192.2478,4.5
Low Fat,NCS54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,1%,13.6,176.737,4.5
Low Fat,NCL55,Others,2020,OUT017,Tier 2,Medium,Supermarket Type1,7%,12.15,253.704,4.5
Regular,FDJ55,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,2%,12.8,226.0404,4.5
Low Fat,NCN43,Others,2011,OUT010,Tier 3,Medium,Grocery Store,1%,12.15,122.973,4.5
Low Fat,FDZ60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,12%,20.5,108.9596,4.5
Low Fat,FDS23,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,14%,4.635,128.2994,4.5
Low Fat,FDK38,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,5%,6.65,149.5734,4.5
Low Fat,FDR02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,2%,16.7,110.1886,4.5
Low Fat,FDF17,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,4%,5.19,195.911,4.5
Low Fat,FDR43,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,16%,18.2,38.419,4.5
Low Fat,DRL11,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,5%,10.5,159.2946,4.5
Low Fat,NCS41,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,5%,12.85,185.1608,4.5
Low Fat,NCP05,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,3%,19.6,150.9024,4.5
Low Fat,NCY18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,3%,7.285,174.7054,4.5
Low Fat,NCP42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,2%,8.51,195.6478,4.5
Low Fat,NCP18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,3%,12.15,149.0708,4.5
Low Fat,NCB18,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,4%,19.6,88.7514,4.5
Low Fat,NCN14,Others,2012,OUT049,Tier 1,Medium,Supermarket Type1,9%,19.1,183.7608,4.5
Low Fat,FDJ45,Seafood,2012,OUT049,Tier 1,Medium,Supermarket Type1,7%,17.75,34.8216,4.5
Low Fat,FDH22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,14%,6.405,128.7678,4.5
Low Fat,FDU22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,9%,12.35,119.1124,4.5
Low Fat,FDO57,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,11%,20.75,161.5578,4.5
Low Fat,FDQ21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,2%,21.25,120.8756,4.5
Low Fat,DRG37,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,2%,16.2,156.7972,4.5
Low Fat,FDB11,Starchy Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,6%,16,225.6404,4.5
Regular,FDL14,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,3%,8.115,154.9972,4.5
Regular,FDQ01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,16%,19.7,256.1014,4.5
Regular,FDW26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,11%,11.8,223.5772,4.5
Regular,FDI05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,13%,8.35,76.5354,4.5
Regular,FDE17,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,5%,20.1,152.1366,4.5
Regular,FDT19,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,15%,7.59,172.908,4.5
Regular,FDJ10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,13%,5.095,141.8838,4.5
low fat,DRH03,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,4%,17.25,93.412,4.5
Low Fat,DRD15,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,10%,,233.1642,4.5
Low Fat,FDY32,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,23%,,163.221,4.5
Low Fat,NCG43,Household,2018,OUT019,Tier 1,Small,Grocery Store,13%,,93.0462,4.5
Low Fat,NCO30,Household,2018,OUT019,Tier 1,Small,Grocery Store,3%,,185.0608,4.5
Low Fat,NCQ06,Household,2018,OUT019,Tier 1,Small,Grocery Store,7%,,254.1014,4.5
Low Fat,NCV06,Household,2018,OUT019,Tier 1,Small,Grocery Store,12%,,195.2478,4.5
Low Fat,NCZ54,Household,2018,OUT019,Tier 1,Small,Grocery Store,15%,,160.9552,4.5
Low Fat,NCP50,Others,2018,OUT019,Tier 1,Small,Grocery Store,4%,,78.6618,4.5
Low Fat,FDF46,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,16%,,113.2834,4.5
Low Fat,FDR33,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,5%,,110.657,4.5
Low Fat,FDS57,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,18%,,141.647,4.5
Low Fat,DRH01,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,17%,,173.0738,4.5
Regular,FDJ58,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,18%,,172.6764,4.5
Regular,FDL57,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,12%,,257.7304,4.5
Regular,FDT09,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,2%,,131.0284,4.5
Regular,FDY33,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,17%,,159.0262,4.5
low fat,FDP09,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,6%,,212.1902,4.5
LF,FDQ12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,4%,12.65,231.401,4.5
LF,FDX43,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,9%,5.655,165.05,4.5
Low Fat,FDS47,Breads,2016,OUT046,Tier 1,Small,Supermarket Type1,13%,16.75,87.6856,4.5
Low Fat,FDN01,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0%,8.895,178.437,4.5
Low Fat,DRG51,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,1%,12.1,163.5526,4.5
Low Fat,DRH03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,4%,17.25,92.412,4.5
Low Fat,FDB05,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,8%,5.155,246.0776,4.5
Low Fat,FDA16,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0%,6.695,219.4456,4.5
Low Fat,FDD29,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,2%,12.15,252.1698,4.5
Low Fat,FDZ19,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,9%,6.425,175.3712,4.5
Low Fat,FDY55,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0%,16.75,255.3988,4.5
Low Fat,NCU29,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,3%,7.685,145.276,4.5
Low Fat,NCW41,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,2%,18,158.9604,4.5
Low Fat,NCY17,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,16%,18.2,43.0086,4.5
Low Fat,NCC19,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,10%,6.57,191.482,4.5
Low Fat,NCJ43,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,3%,6.635,174.9396,4.5
Low Fat,NCE19,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,9%,8.97,52.7956,4.5
Low Fat,NCO18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,2%,13.15,179.5686,4.5
Low Fat,NCG43,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0%,20.2,94.1462,4.5
Low Fat,FDT03,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,1%,21.25,182.3608,4.5
Low Fat,FDW33,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,10%,9.395,107.228,4.5
Low Fat,DRC12,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,4%,17.85,189.7188,4.5
Regular,FDL14,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,3%,8.115,154.8972,4.5
Regular,FDZ01,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,1%,8.975,103.399,4.5
Regular,FDJ14,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,5%,10.3,77.896,4.5
Regular,FDB04,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,6%,11.35,87.9856,4.5
Regular,FDA08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,5%,11.85,164.7526,4.5
low fat,FDX55,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,6%,15.1,219.4166,4.5
LF,NCF55,Household,2015,OUT045,Tier 2,Medium,Supermarket Type1,2%,6.675,34.9874,4.5
LF,NCJ30,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,8%,5.82,170.379,4.5
LF,FDR10,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,1%,17.6,160.4552,4.5
Low Fat,FDR48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,13%,11.65,151.1024,4.5
Low Fat,FDL36,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,8%,15.1,90.483,4.5
Low Fat,FDH27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,6%,7.075,145.3128,4.5
Low Fat,FDI52,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,10%,18.7,121.4072,4.5
Low Fat,FDD45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,12%,8.615,94.1436,4.5
Low Fat,NCS53,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,9%,14.5,159.5604,4.5
Low Fat,NCA41,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,16.75,190.8162,4.5
Low Fat,NCY17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0%,18.2,44.1086,4.5
Low Fat,NCX17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,11%,21.25,232.83,4.5
Low Fat,NCV54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,3%,11.1,120.1124,4.5
Low Fat,NCQ06,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,4%,13,255.0014,4.5
Low Fat,NCB55,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,16%,15.7,57.8562,4.5
Low Fat,NCN54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,2%,20.35,75.8328,4.5
Low Fat,DRE12,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0%,4.59,111.186,4.5
Low Fat,FDR48,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,13%,11.65,150.5024,4.5
Low Fat,FDO12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,6%,15.75,196.5452,4.5
Low Fat,FDS47,Breads,2020,OUT017,Tier 2,Small,Supermarket Type1,13%,16.75,86.1856,4.5
Low Fat,FDZ27,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,7.935,51.435,4.5
Low Fat,DRE03,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,2%,19.6,46.3718,4.5
